,level_0,index,production_countries,popularity,vote_average,overview,genres,keywords,production_companies,weighted_rating,release_year,genre_embedding,keywords_embedding,production_comp_embedding,production_count_embedding
10,10,7,['united states of america'],69.498,8.438,"['insomniac', 'slippery', 'soap', 'salesman', 'channel', 'primal', 'male', 'aggression', 'shocking', 'new', 'form', 'therapy', 'concept', 'catches', 'underground', 'fight', 'clubs', 'forming', 'every', 'town', 'eccentric', 'gets', 'way', 'ignites', 'spiral', 'toward', 'oblivion']",['drama'],"['dual', 'identity', 'rage', 'hate', 'based', 'novel', 'book', 'nihilism', 'fight', 'support', 'group', 'dystopia', 'insomnia', 'alter', 'ego', 'breaking', 'fourth', 'wall', 'split', 'personality', 'quitting', 'job', 'dissociative', 'identity', 'disorder', 'self', 'destructiveness']","['regency enterprises', 'fox 2000 pictures', 'taurus film', 'atman entertainment', 'knickerbocker films', 'the linson company', '20th century fox']",8.334154509133416,1990s,"[-0.03745704  0.03769625  0.1064771   0.0366094  -0.02885622 -0.0978338
  0.15109776  0.15718275 -0.1352962  -0.04537118]","[ 0.12375659  0.01947364  0.76618826 -0.17101061 -0.13221239  0.14443824
  0.7130564   0.3904002  -0.23692669 -0.35886675]",[ 0.02663404  0.2996929   0.42524675  0.08360746 -0.09704471],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
11,11,1,"['united kingdom', 'united states of america']",140.241,8.417,"['adventures', 'group', 'explorers', 'make', 'use', 'newly', 'discovered', 'wormhole', 'surpass', 'limitations', 'human', 'space', 'travel', 'conquer', 'vast', 'distances', 'involved', 'interstellar', 'voyage']","['adventure', 'drama', 'science', 'fiction']","['rescue', 'future', 'spacecraft', 'race', 'time', 'artificial', 'intelligence', 'nasa', 'time', 'warp', 'dystopia', 'expedition', 'space', 'travel', 'wormhole', 'famine', 'black', 'hole', 'quantum', 'mechanics', 'family', 'relationships', 'space', 'robot', 'astronaut', 'scientist', 'single', 'father', 'farmer', 'space', 'station', 'curious', 'space', 'adventure', 'time', 'paradox', 'thoughtful', 'father', 'daughter', 'relationship', 'cornfield', 'time', 'manipulation', 'complicated']","['legendary pictures', 'syncopy', 'lynda obst productions']",8.330392538400618,2010s,"[-0.09543058  0.06510065  0.09142773 -0.09190688  0.08440557 -0.06659976
  0.16510719  0.09594663 -0.14837654  0.00018479]","[ 0.07325697 -0.18671781  0.76772654 -0.20780419 -0.02779557  0.22256903
  0.7341769   0.27283624 -0.2624838  -0.4789007 ]",[ 0.02890442  0.06901966  0.06628021 -0.0850558  -0.01328337],[-0.07279584  0.06966176  0.14381105  0.04305519 -0.13837245]
12,12,93,['united states of america'],83.739,8.507,"['supernatural', 'tale', 'set', 'death', 'row', 'southern', 'prison', 'gentle', 'giant', 'john', 'coffey', 'possesses', 'mysterious', 'power', 'heal', 'people', 'ailments', 'cell', 'block', 'head', 'guard', 'paul', 'edgecomb', 'recognizes', 'coffey', 'miraculous', 'gift', 'tries', 'desperately', 'help', 'stave', 'condemned', 'man', 'execution']","['fantasy', 'drama', 'crime']","['mentally', 'disabled', 'based', 'novel', 'book', 'southern', 'usa', 'psychopath', 'death', 'row', 'jail', 'guard', 'supernatural', 'great', 'depression', 'prison', 'guard', 'jail', 'electric', 'chair', 'torture', 'magic', 'realism', 'healing', 'abuse', 'power']","['castle rock entertainment', 'darkwoods productions', 'warner bros. pictures', 'polygram filmed entertainment']",8.330042056165675,1990s,"[-0.01644717  0.07274637  0.08282714 -0.02877165  0.02675042 -0.04028098
  0.14330985  0.07100428 -0.11309565 -0.02626014]","[ 0.11253391  0.06951039  0.65541714 -0.06548442 -0.00585386  0.11541245
  0.70614856  0.48550272 -0.33443233 -0.41110644]",[-0.02095591  0.14863817  0.3370955   0.00228358 -0.0853617 ],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
13,13,19,"['new zealand', 'united states of america']",87.037,8.402,"['young', 'hobbit', 'frodo', 'baggins', 'inheriting', 'mysterious', 'ring', 'uncle', 'bilbo', 'must', 'leave', 'home', 'order', 'keep', 'falling', 'hands', 'evil', 'creator', 'along', 'way', 'fellowship', 'formed', 'protect', 'ringbearer', 'make', 'sure', 'ring', 'arrives', 'final', 'destination', 'mt', 'doom', 'place', 'destroyed']","['adventure', 'fantasy', 'action']","['based', 'novel', 'book', 'orcs', 'elves', 'dwarf', 'magic', 'loss', 'loved', 'one', 'river', 'fireworks', 'mine', 'maze', 'mountain', 'new', 'zealand', 'castle', 'volcano', 'birthday', 'party', 'addiction', 'uncle', 'fugitive', 'battle', 'death', 'blizzard', 'wizard', 'journey', 'ring', 'live', 'action', 'animation', 'sword', 'sorcery', 'nz']","['new line cinema', 'wingnut films', 'the saul zaentz company']",8.285008983371588,2000s,"[-0.03222845  0.07575373  0.0946174  -0.11447974  0.09275029 -0.05022557
  0.18243782  0.07890034 -0.16094027 -0.08777892]","[ 0.05811232  0.12986131  0.6462063  -0.08377045  0.06306332  0.07591253
  0.7359122   0.45991415 -0.36953956 -0.39188084]",[-0.02301216  0.0517779   0.34261194  0.01582076 -0.15672459],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
14,14,0,"['united kingdom', 'united states of america']",83.952,8.364,"['cobb', 'skilled', 'thief', 'commits', 'corporate', 'espionage', 'infiltrating', 'subconscious', 'targets', 'offered', 'chance', 'regain', 'old', 'life', 'payment', 'task', 'considered', 'impossible', 'inception', 'implantation', 'another', 'person', 'idea', 'target', 'subconscious']","['action', 'science', 'fiction', 'adventure']","['rescue', 'mission', 'dream', 'airplane', 'paris', 'france', 'virtual', 'reality', 'kidnapping', 'philosophy', 'spy', 'allegory', 'manipulation', 'car', 'crash', 'heist', 'memory', 'architecture', 'los', 'angeles', 'california', 'dream', 'world', 'subconscious']","['legendary pictures', 'syncopy', 'warner bros. pictures']",8.284905329775066,2010s,"[-0.08178395  0.06682833  0.07557982 -0.10694653  0.10702501 -0.0575473
  0.16898724  0.0896     -0.17103729 -0.01440524]","[ 0.00956061  0.00251543  0.6455687  -0.1814767   0.1977303   0.32982892
  0.58511126  0.502963   -0.36646205 -0.5122452 ]",[ 0.04490488  0.18448837  0.23880799  0.01231997 -0.10671958],[-0.07279584  0.06966176  0.14381105  0.04305519 -0.13837245]
15,15,258,['japan'],68.999,8.514,"['high', 'schoolers', 'mitsuha', 'taki', 'complete', 'strangers', 'living', 'separate', 'lives', 'one', 'night', 'suddenly', 'switch', 'places', 'mitsuha', 'wakes', 'taki', 'body', 'bizarre', 'occurrence', 'continues', 'happen', 'randomly', 'two', 'must', 'adjust', 'lives', 'around']","['romance', 'animation', 'drama']","['race', 'time', 'afterlife', 'natural', 'disaster', 'supernatural', 'time', 'travel', 'comet', 'romance', 'tragedy', 'school', 'nonlinear', 'timeline', 'star', 'crossed', 'lovers', 'anime', 'dreams']","['comix wave films', 'toho', 'kadokawa', 'east japan marketing & communications', 'amuse', 'voque ting', 'lawson entertainment', '4kids entertainment']",8.255075690309912,2010s,"[-0.01579382  0.01774916  0.10582801 -0.04966554  0.08270673 -0.01987397
  0.04565431  0.07789937 -0.09176361  0.0230214 ]","[ 1.3099399e-01 -1.1767769e-01  5.9827137e-01 -2.3050512e-01
 -4.6060979e-04  2.2958644e-01  8.2250398e-01  4.1383508e-01
 -3.2513931e-01 -3.2427353e-01]",[-0.09921543  0.06529931  0.22442514 -0.00263751 -0.02527729],[0. 0. 0. 0. 0.]
16,16,35,"['new zealand', 'united states of america']",78.73,8.385,"['frodo', 'sam', 'trekking', 'mordor', 'destroy', 'one', 'ring', 'power', 'gimli', 'legolas', 'aragorn', 'search', 'merry', 'pippin', 'along', 'nefarious', 'wizard', 'saruman', 'awaits', 'fellowship', 'members', 'orthanc', 'tower', 'isengard']","['adventure', 'fantasy', 'action']","['mission', 'army', 'based', 'novel', 'book', 'funeral', 'orcs', 'elves', 'dwarf', 'explosive', 'fort', 'cave', 'siege', 'addiction', 'attack', 'dragon', 'guide', 'death', 'split', 'personality', 'wizard', 'ring', 'live', 'action', 'animation', 'sword', 'sorcery']","['new line cinema', 'wingnut films', 'the saul zaentz company']",8.253568979350609,2000s,"[-0.03222845  0.07575373  0.0946174  -0.11447974  0.09275029 -0.05022557
  0.18243782  0.07890034 -0.16094027 -0.08777892]","[ 0.14373678  0.07377529  0.73471713 -0.12549272 -0.02101473  0.09736683
  0.70710474  0.4271707  -0.23954092 -0.42054546]",[-0.02301216  0.0517779   0.34261194  0.01582076 -0.15672459],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
17,17,181,['italy'],39.478,8.455,"['touching', 'story', 'italian', 'book', 'seller', 'jewish', 'ancestry', 'lives', 'little', 'fairy', 'tale', 'creative', 'happy', 'life', 'would', 'come', 'abrupt', 'halt', 'entire', 'family', 'deported', 'concentration', 'camp', 'world', 'war', 'ii', 'locked', 'tries', 'convince', 'son', 'whole', 'thing', 'game']","['comedy', 'drama']","['dying', 'death', 'bookshop', 'love', 'one', 'life', 'nazi', 'self', 'sacrifice', 'loss', 'loved', 'one', 'italy', 'riddle', 'mass', 'murder', 'concentration', 'camp', 'fascism', 'holocaust', 'shoah', 'world', 'war', 'ii', 'deportation', 'jew', 'persecution', 'story', 'teller', 'riding', 'bicycle', 'national', 'socialism', 'dark', 'comedy', 'charade', 'concentration', 'camp', 'prisoner', 'romantic', 'comedy', 'dark', 'war', 'nazi', 'germany']","['melampo cinematografica', 'miramax']",8.239286892460946,1990s,"[-0.00322802  0.06931491  0.12574801 -0.01404555  0.06219293 -0.08482287
  0.1267814   0.15272951 -0.1629309  -0.05003268]","[ 5.8049196e-04  1.7209682e-01  5.9489751e-01 -8.8608995e-02
  2.2232074e-01  1.7363776e-01  6.8618613e-01  4.5825821e-01
 -4.3158904e-01 -4.4892597e-01]",[-0.14275724  0.21558632  0.25914246  0.12908371  0.10882591],[0. 0. 0. 0. 0.]
18,18,196,['united states of america'],83.57,8.464,"['true', 'story', 'henry', 'hill', 'brooklyn', 'kid', 'adopted', 'neighbourhood', 'gangsters', 'early', 'age', 'climbs', 'ranks', 'mafia', 'family', 'guidance', 'jimmy', 'conway']","['drama', 'crime']","['prison', 'florida', 'new', 'york', 'city', 'based', 'novel', 'book', 'gangster', 'mass', 'murder', 'drug', 'trafficking', 'gore', 'biography', 'based', 'true', 'story', 'murder', 'organized', 'crime', 'mafia', 'brooklyn', 'new', 'york', 'city', 'crime', 'epic', 'tampa', 'florida']",['winkler films'],8.239243516813474,1990s,"[-0.03579297  0.04640014  0.09911034  0.03421411 -0.02023685 -0.04881215
  0.13468458  0.07645815 -0.11096399  0.01019916]","[ 0.03115853  0.1350223   0.5733625  -0.03981579  0.17900471  0.31662017
  0.7739134   0.4282809  -0.30960658 -0.37255865]","[ 1.80714667e-01 -1.08382665e-05  2.82569855e-01  1.70598656e-01
 -1.16523847e-01]",[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
19,19,96,['united states of america'],35.265,8.4,"['epic', 'saga', 'continues', 'luke', 'skywalker', 'hopes', 'defeating', 'evil', 'galactic', 'empire', 'learns', 'ways', 'jedi', 'aging', 'master', 'yoda', 'darth', 'vader', 'determined', 'ever', 'capture', 'luke', 'meanwhile', 'rebel', 'leader', 'princess', 'leia', 'cocky', 'han', 'solo', 'chewbacca', 'droids', 'thrown', 'various', 'stages', 'capture', 'betrayal', 'despair']","['adventure', 'action', 'science', 'fiction']","['rebellion', 'android', 'spacecraft', 'asteroid', 'rebel', 'space', 'battle', 'snowstorm', 'space', 'colony', 'swamp', 'space', 'opera', 'artic']",['lucasfilm ltd.'],8.233634345558118,1980s,"[-0.08178394  0.06682833  0.07557982 -0.10694653  0.10702501 -0.0575473
  0.16898724  0.0896     -0.1710373  -0.01440524]","[ 0.04443196 -0.31974858  1.1438901  -0.38501638 -0.29141048  0.18936956
  0.68028736  0.08904281  0.01042325 -0.5125712 ]",[ 0.18137233  0.21399698 -0.08753138 -0.18464556  0.18563281],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
20,20,45,['united states of america'],53.521,8.368,"['two', 'homicide', 'detectives', 'desperate', 'hunt', 'serial', 'killer', 'whose', 'crimes', 'based', 'seven', 'deadly', 'sins', 'dark', 'haunting', 'film', 'takes', 'viewers', 'tortured', 'remains', 'one', 'victim', 'next', 'seasoned', 'det', 'sommerset', 'researches', 'sin', 'effort', 'get', 'inside', 'killer', 'mind', 'novice', 'partner', 'mills', 'scoffs', 'efforts', 'unravel', 'case']","['crime', 'mystery', 'thriller']","['drug', 'dealer', 'rage', 'hate', 'police', 'sadism', 'prophecy', 'psychopath', 'detective', 'rain', 'investigation', 'pension', 'evisceration', 'pride', 'vanity', 'immoderateness', 'insomnia', 'murder', 'serial', 'killer', 'religion', 'seven', 'deadly', 'sins', 'depravity']","['new line cinema', 'juno pix', 'cecchi gori pictures']",8.232841852467855,1990s,"[-0.03659509  0.04795127  0.03235551 -0.05959072  0.05384386 -0.01048007
  0.09303311  0.09484827 -0.03521969  0.08327837]","[-0.00920777  0.19789308  0.62239224 -0.04765945  0.35767162  0.4046638
  0.52461666  0.49637422 -0.39159557 -0.6353957 ]",[-0.10814606  0.22182699  0.4686183  -0.13856407 -0.11069841],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
21,21,133,['united states of america'],80.675,8.404,"['struggling', 'find', 'place', 'world', 'juggling', 'school', 'family', 'brooklyn', 'teenager', 'miles', 'morales', 'unexpectedly', 'bitten', 'radioactive', 'spider', 'develops', 'unfathomable', 'powers', 'like', 'one', 'wrestling', 'implications', 'new', 'abilities', 'miles', 'discovers', 'super', 'collider', 'created', 'madman', 'wilson', 'kingpin', 'fisk', 'causing', 'others', 'across', 'inadvertently', 'transported', 'dimension']","['action', 'adventure', 'animation', 'science', 'fiction']","['superhero', 'based', 'comic', 'aftercreditsstinger', 'alternate', 'universe']","['columbia pictures', 'lord miller', 'pascal pictures', 'sony pictures animation', 'arad productions']",8.219007522191642,2010s,"[-0.06609666  0.05191561  0.08939219 -0.1170596   0.11350857 -0.04551228
  0.14126757  0.09368667 -0.15785122 -0.00114543]","[ 0.21076417 -0.28119072  0.8085815  -0.1860003  -0.31785434  0.05885768
  0.6983615   0.45550498 -0.27371302 -0.28219658]",[ 0.10577561  0.14517282  0.11966377  0.05864224 -0.04285936],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
22,22,436,['united states of america'],51.201,8.54,"['defense', 'prosecution', 'rested', 'jury', 'filing', 'jury', 'room', 'decide', 'young', 'guilty', 'innocent', 'murdering', 'father', 'begins', 'open', 'shut', 'case', 'soon', 'becomes', 'jurors', 'prejudices', 'preconceptions', 'trial', 'accused']",['drama'],"['death', 'penalty', 'anonymity', 'court', 'case', 'court', 'judge', 'jurors', 'father', 'murder', 'class', 'sultriness', 'heat', 'innocence', 'puerto', 'rico', 'based', 'play', 'musical', 'courtroom', 'courtroom', 'drama', 'one', 'location']","['united artists', 'orion-nova productions']",8.204957366008397,1950s,"[-0.03745704  0.03769625  0.1064771   0.0366094  -0.02885622 -0.0978338
  0.15109776  0.15718275 -0.1352962  -0.04537118]","[ 0.00710682  0.11514819  0.51848084 -0.02940957  0.17565903  0.10539798
  0.75567865  0.4363115  -0.4576636  -0.5132818 ]",[ 0.18039608  0.23238632  0.10101912  0.03764688 -0.00686882],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
23,23,135,['united states of america'],54.495,8.381,"['direction', 'ruthless', 'instructor', 'talented', 'young', 'drummer', 'begins', 'pursue', 'perfection', 'cost', 'even', 'humanity']","['drama', 'music']","['new', 'york', 'city', 'concert', 'jazz', 'obsession', 'music', 'teacher', 'conservatory', 'montage', 'public', 'humiliation', 'jazz', 'band', 'young', 'adult', 'music', 'school', 'based', 'short', 'film']","['bold films', 'blumhouse productions', 'right of way films', 'sierra/affinity', 'stage 6 films', 'sony pictures classics']",8.197400175281217,2010s,"[-0.03745704  0.03769625  0.1064771   0.0366094  -0.02885622 -0.0978338
  0.15109776  0.15718275 -0.1352962  -0.04537118]","[ 0.12556562  0.04988233  0.5239032  -0.12213042  0.10645472  0.19711234
  0.8689392   0.47781086 -0.37102973 -0.23614788]",[ 0.05396843  0.16123731  0.19929712  0.03659617 -0.09344675],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
